	OPEN - AAA	CLOSE - AAA	VOLUME - AAA	High - AAA	Low - AAA	DIVIDEND - AAA	MARKET CAP - AAA	OPEN - BBB	CLOSE - BBB	VOLUME - BBB	High - BBB	Low - BBB	DIVIDEND - BBB	MARKET CAP - BBB	OPEN - CCC	CLOSE - CCC	VOLUME - CCC	High - CCC	Low - CCC	DIVIDEND - CCC	MARKET CAP - CCC	OPEN - DDD	CLOSE - DDD	VOLUME - DDD	High - DDD	Low - DDD	DIVIDEND - DDD	MARKET CAP - DDD	OPEN - EEE	CLOSE - EEE	VOLUME - EEE	High - EEE	Low - EEE	DIVIDEND - EEE	MARKET CAP - EEE	OPEN - FFF	CLOSE - FFF	VOLUME - FFF	High - FFF	Low - FFF	DIVIDEND - FFF	MARKET CAP - FFF
01.01.2017	150	143,534806	200000	153,2856857	142,190027			20	20,42274157	120000	20,58065785	19,77422227			49	49,71825054	130000	51,19107136	48,07102002			500	474,1993404	300000	529,004539	464,6207131			200	189,6294959	150000	203,7010532	188,2709162			4	4,072268984	100000	4,121571535	3,971549743		
02.01.2017	145,0102278	142,9284548	188314,1829	145,6836193	142,0092615			20,52881902	19,95810457	122502,2478	21,23464459	19,59530017			50,01361036	46,63158743	105871,6449	51,15220614	45,55293101			489,8635358	466,6552198	311537,9823	503,6692591	445,8956109			187,5212724	183,7081343	145245,7367	192,3197007	183,3959303			3,896504477	3,944124596	155434,1013	4,004555746	3,85320559		
03.01.2017	143,3172523	144,494951	233718,9864	151,7853507	138,3761314			19,90464156	20,0694281	124388,9022	20,10075381	19,78610878			46,73801424	45,66813619	114379,0736	48,11118149	44,82312122			463,2100932	478,4307031	448163,6139	507,7490542	460,4973652			171,5119132	190,4505602	185057,3273	192,0047168	167,2495684			3,984904173	3,935204692	176754,02	4,087783875	3,895314761		
04.01.2017	146,3013307	147,6019568	185762,8928	151,3290415	146,0729785			19,68020791	20,2634348	118529,8637	20,96439793	19,38765407			45,23628319	47,49155378	106460,5556	48,72005581	44,83161558			481,2272103	515,6730651	216716,1357	516,3946891	480,9681878			190,8504882	169,3730324	150198,8033	198,0478634	167,8949776			4,091270204	4,126627489	141129,528	4,155097332	4,039301357		
05.01.2017	151,6531239	149,8915217	202433,5245	155,790209	142,7281986			20,79168932	20,93426585	125813,4126	21,04816167	20,21022226			46,22489699	47,49155032	142666,9482	47,69428005	45,73621795			513,2526142	492,6152426	337455,1155	529,2674273	486,1687536			175,096958	161,7194771	157977,7869	175,5220308	157,9563613			3,471169542	3,523231752	163710,9168	3,590133887	3,461322187		
08.01.2017	152,1291911	152,631899	201350,4252	154,9199347	148,826797			21,5629034	21,98513854	105641,3917	22,58681416	21,30991357			47,15519074	46,95029721	211486,566	48,54562756	46,13146217			510,661608	519,6043686	426325,8919	529,4526917	505,9103266			167,5607526	191,8356861	114955,6708	194,941545	166,9851497			3,247817068	3,228357683	135335,4384	3,366843954	3,130868642		
09.01.2017	153,5450392	147,6999973	200250,8458	159,9915587	146,6118178			22,15733202	22,74111355	124600,2635	22,92879056	21,3358369			48,16102847	47,44478653	158153,544	49,47516935	47,18702996			505,6399378	497,7342708	322859,9344	511,7055791	492,5634428			187,9253439	184,0355656	127535,81	191,9098535	182,3544783			3,260026229	3,156156988	157332,4979	3,294251288	3,046558612		
10.01.2017	148,2891842	142,6651002	205978,3153	149,8655374	141,7389927			23,00875256	22,63594435	114792,4088	23,7243097	21,54939265			47,01908637	42,51550094	165697,9901	49,13984852	40,49132855			497,5140697	503,3707079	227240,2702	505,3468719	479,906114			188,3513656	184,4228198	178474,907	189,4994632	183,0254695			3,413943433	3,479306204	156268,2481	3,495466265	3,391147783		
11.01.2017	146,7564506	147,7470105	195866,9296	152,7085455	143,0749626			22,40686549	21,89020363	103832,1642	23,25432043	21,53894932			40,60510918	40,03807355	105116,2336	41,3231063	39,11954735			520,1557851	518,7339555	340148,4843	543,2806155	509,9598974			180,3464273	172,453047	143378,4124	180,730551	166,0933233			3,526907728	3,540774177	150749,1905	3,612425893	3,452675728		
12.01.2017	151,4093766	150,9064663	245127,4064	151,5488291	146,2624901			21,86464765	21,92782738	103814,8173	21,96225486	21,33117765			39,34266548	40,96599449	189327,8749	42,55838467	37,77341599			517,165264	477,1469334	309118,0552	523,4528496	471,0580991			175,3096676	187,4010859	127484,0681	197,2087369	172,5507969			3,691740338	3,727647024	133807,6994	3,848597628	3,642162031		
