	STOCK 1	STOCK 2
01.01.2017	-0,018337842	0,038406065
02.01.2017	-0,000899844	-0,008493761
03.01.2017	0,02558738	0,008565993
04.01.2017	-0,0408179	0,118011791
05.01.2017	-0,018978962	0,061414463
08.01.2017	0,043784404	-0,013647968
09.01.2017	-0,013491545	0,021707143
10.01.2017	-0,00146586	0,002163893
11.01.2017	-0,007293334	0,014875318
12.01.2017	0,015773953	-0,013957848
14.01.2017	0,021671664	-0,023399088
15.01.2017	0,000105601	0,002066961
16.01.2017	0,005160152	-0,022897484
17.01.2017	0,02306591	-0,005827731
18.01.2017	0,008747388	-0,035406282
19.01.2017	-0,009276341	-0,017677181
21.01.2017	-0,027930211	0,038458783
22.01.2017	0,001285095	0,022310758
23.01.2017	0,043311811	0,015961718
24.01.2017	-0,014515785	0,005179298
25.01.2017	-0,00561565	0,03129275
26.01.2017	-5,54175E-05	0,006805503
28.01.2017	0,040237445	-0,057834774
29.01.2017	0,01310372	-0,007749287
30.01.2017	0,012712944	0,001179611
31.01.2017	0,003210478	0,005002252
01.01.2018	0,000516496	-0,017955592
02.01.2018	0,011908687	0,01837369
03.01.2018	0,000329137	-0,001561631
04.01.2018	-0,004214113	0,031547006
05.01.2018	-0,007786819	-0,007396803
08.01.2018	0,004096441	-0,009108641
09.01.2018	-0,001681947	0,002481299
10.01.2018	0,01343058	0,010558768
11.01.2018	0,00978564	0,030821724
12.01.2018	-0,011050779	0,010214547
14.01.2018	0,030922912	-0,007984258
15.01.2018	-0,003419804	-0,031849387
16.01.2018	-0,015903727	0,025804208
17.01.2018	0,014044223	0,001224584
18.01.2018	0,02001514	-0,004790151
19.01.2018	0,0085241	-0,014610128
21.01.2018	0,036289118	-0,013986752
22.01.2018	0,008789989	0,009701975
23.01.2018	-0,003820333	-0,024583015
24.01.2018	-0,000666431	0,048909293
25.01.2018	-0,020087575	0,051967819
26.01.2018	0,022687513	0,027095477
28.01.2018	0,022211925	-0,003764334
29.01.2018	0,032167536	-0,051685297
30.01.2018	0,005056373	-0,020079836
31.01.2018	-0,010401541	0,052145543
01.01.2019	-0,002015468	0,028728491
02.01.2019	-0,01685121	-0,012112577
03.01.2019	-0,020071694	0,059253326
04.01.2019	-0,031405608	0,014235943
05.01.2019	-0,000485682	0,003664117
08.01.2019	0,029274226	-0,01176919
09.01.2019	-0,00964559	-0,029579349
10.01.2019	0,012578336	-0,008155284
11.01.2019	-0,003279911	0,00456493
12.01.2019	-0,024694137	0,087212618
13.01.2019	0,027505104	-0,007113116
14.01.2019	0,021362374	0,041304779
16.01.2019	0,009044221	-0,003262058
17.01.2019	-0,002288076	0,017127231
18.01.2019	0,033429636	0,003795978
19.01.2019	-0,012982756	-0,018381232
20.01.2019	0,042823606	-0,031813521
21.01.2019	0,00086348	-0,056299259
23.01.2019	-0,010676098	0,007831535
24.01.2019	-0,004206498	-0,032498899
25.01.2019	-0,00422705	0,001859771
26.01.2019	0,002728937	6,70418E-05
27.01.2019	-0,004081451	0,012186867
28.01.2019	-0,002859435	-0,0158313
29.01.2019	0,037756107	-0,01997898
30.01.2019	-0,051457281	0,096485401
31.01.2019	0,02630487	-0,023581707
01.01.2020	0,004930781	0,014074738
02.01.2020	0,025464795	0,005372599
03.01.2020	-0,003113563	0,012035108
04.01.2020	-0,016821132	-0,004794919
05.01.2020	0,017150953	-0,006907195
08.01.2020	-0,004744616	0,053848759
09.01.2020	-0,006509147	0,037402112
10.01.2020	-0,000207831	0,004984041
11.01.2020	0,000742641	0,008546821
12.01.2020	0,004541743	0,015264808
13.01.2020	0,014071776	0,028684314
14.01.2020	-0,018840169	0,012053
16.01.2020	0,001777502	0,014521067
17.01.2020	-0,011158833	0,040881316
18.01.2020	-0,017963515	0,018386166
19.01.2020	0,003133079	-0,016125086
20.01.2020	-0,003679989	0,00499621
21.01.2020	0,002163964	-0,037541837
23.01.2020	0,045655095	0,029683228
24.01.2020	-0,001958356	0,028792287
25.01.2020	-0,013657648	0,037126597
26.01.2020	-0,059130444	0,146783523
27.01.2020	0,027055275	0,021600806
28.01.2020	-0,042447148	0,122890363
29.01.2020	-0,013776009	0,007774781
30.01.2020	0,007606336	-0,022059731
31.01.2020	0,030699578	0,010744013
01.01.2021	0,001821622	-0,007695795
02.01.2021	-0,009379139	0,030189702
03.01.2021	-0,005084592	0,049006145
04.01.2021	-0,042239736	0,059203922
05.01.2021	-0,029885117	0,014311424
08.01.2021	-0,011681916	-0,005183862
09.01.2021	-0,045893337	0,099216597
10.01.2021	-0,009429216	0,012086474
11.01.2021	0,005106403	-0,009295151
12.01.2021	-0,005373504	0,022120704
13.01.2021	0,012909562	0,040868612
14.01.2021	-0,011673117	0,018215229
16.01.2021	-0,035707718	-0,01821531
17.01.2021	-0,012261512	0,01363975
18.01.2021	-0,02034934	0,050177617
19.01.2021	0,000600827	-0,021623803
20.01.2021	0,012285021	0,002359587
21.01.2021	-0,018413246	0,044410048
23.01.2021	-0,059404769	0,101355489
24.01.2021	0,0054103	-0,000864296
25.01.2021	-0,023647234	0,027262066
26.01.2021	0,037590756	-0,016279725
27.01.2021	-0,013163026	0,022716515
28.01.2021	-0,034938278	0,028196502
29.01.2021	0,008728887	-0,002499618
30.01.2021	-0,025216029	0,063093283
31.01.2021	-0,018649488	0,053911963
01.01.2022	6,37566E-05	-0,007380093
02.01.2022	-0,02034789	0,05796905
03.01.2022	-0,022032833	-0,007671074
04.01.2022	-5,76565E-05	-0,016274453
05.01.2022	0,023604994	-0,009782922
08.01.2022	0,03620183	-0,003687033
09.01.2022	-0,008195408	0,024492591
10.01.2022	0,0023884	-0,008386348
11.01.2022	-0,02554691	0,021734695
12.01.2022	0,000803876	0,030079294
13.01.2022	0,030540011	-0,029502235
14.01.2022	-0,00435059	0,025821314
16.01.2022	-0,007847634	0,014484245
17.01.2022	-0,014467828	-0,0210989
18.01.2022	0,023868367	-0,010003871
19.01.2022	-0,002138328	-0,023733983
20.01.2022	-0,056259005	0,14242885
21.01.2022	-0,015056728	0,080223098
23.01.2022	-0,014173689	0,013189666
24.01.2022	-0,037455879	0,053732964
25.01.2022	-0,011686933	0,024435637
26.01.2022	-0,023028543	0,042034424
27.01.2022	-0,004305829	0,030820951
28.01.2022	0,016587241	0,003376303
29.01.2022	0,01486473	0,000759391
30.01.2022	-0,024365631	0,028741186
31.01.2022	-0,006052584	0,020823642
01.01.2023	-0,024868244	0,039127291
02.01.2023	0,011216625	-0,007844948
03.01.2023	0,010190026	-0,032537343
04.01.2023	0,021175812	0,030993706
05.01.2023	-0,016703257	0,036164506
08.01.2023	-0,002392715	-0,003853614
09.01.2023	-0,032616235	0,025853275
10.01.2023	0,001727003	-0,005760965
11.01.2023	0,023907566	0,000974987
12.01.2023	-0,038746556	0,028366342
13.01.2023	0,000979432	-0,000516732
14.01.2023	0,004564459	-0,002590475
16.01.2023	-0,031919454	0,058258383
17.01.2023	0,009567777	-0,003897402
18.01.2023	-0,021405805	0,057092718
19.01.2023	0,012443088	0,02390716
20.01.2023	0,018105743	-0,01518002
21.01.2023	-0,016285553	0,001730056
23.01.2023	0,029343861	0,005845163
24.01.2023	0,008540819	0,030789952
25.01.2023	0,013136874	0,002582618
26.01.2023	-0,042649085	0,069373875
27.01.2023	-0,011958	0,003289143
28.01.2023	-0,006429242	0,005092266
29.01.2023	0,002250707	-0,000722294
30.01.2023	0,023981097	-0,016542518
31.01.2023	0,005754221	-0,019301831
01.01.2024	-0,010003453	0,004330082
02.01.2024	-0,024971611	-0,006542412
03.01.2024	0,01512115	0,009577358
04.01.2024	0,008845861	-0,008399316
05.01.2024	-0,023709622	0,026291651
08.01.2024	0,006309642	-0,014058053
09.01.2024	0,005826966	0,006309558
10.01.2024	-0,005211203	0,019123944
11.01.2024	-0,01354072	0,04564424
12.01.2024	0,008768906	0,030543364
13.01.2024	0,031118987	-0,005301235
14.01.2024	0,03766983	-0,01786177
16.01.2024	-0,035696515	0,080725932
17.01.2024	-0,016015909	0,027914906
18.01.2024	0,016147844	-0,007881061
19.01.2024	-0,02179895	0,020045109
20.01.2024	-0,020280609	0,013750001
21.01.2024	-0,007821196	0,02598999
23.01.2024	0,009992168	0,003282259
24.01.2024	-0,022767542	0,034023363
25.01.2024	0,008298196	-0,026578835
26.01.2024	-0,041568357	0,087258837
27.01.2024	0,000686149	-0,01156829
28.01.2024	0,035293276	-0,012237496
29.01.2024	-0,013070157	0,031375763
30.01.2024	-0,000882142	-0,015145626
31.01.2024	-0,013292956	0,047595883
01.01.2025	0,011108539	-0,004347869
02.01.2025	0,039702234	-0,010398488
03.01.2025	-0,040308416	0,046014127
04.01.2025	0,010774053	0,021786801
05.01.2025	0,016857794	-0,032153909
08.01.2025	0,025726699	-0,004492789
09.01.2025	0,019473552	-0,01308196
10.01.2025	-0,003079114	-0,035301917
11.01.2025	-0,014100415	0,020017149
12.01.2025	-0,033344172	0,042729057
13.01.2025	-0,002583708	-0,003405756
14.01.2025	0,005575264	-0,014136396
16.01.2025	0,007269067	-0,024849319
